GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Jersey
67,2024-03-13,,Colorado Avalanche,3,4,L,OT,42,17,8,L 1,18880,2:27,Home
68,2024-03-16,,Washington Capitals,1,2,L,,42,18,8,L 2,18859,2:22,Home
69,2024-03-19,,Buffalo Sabres,3,2,W,,43,18,8,W 1,18733,2:30,Skate
70,2024-03-21,,Montreal Canadiens,4,1,W,,44,18,8,W 2,18804,2:22,Home
71,2024-03-23,,Calgary Flames,4,2,W,,45,18,8,W 3,18903,2:24,Home
72,2024-03-25,,Los Angeles Kings,2,3,L,,45,19,8,L 1,18870,2:24,Skate
73,2024-03-28,,Dallas Stars,1,3,L,,45,20,8,L 2,18987,2:29,Skate
74,2024-03-31,,Anaheim Ducks,3,2,W,,46,20,8,W 1,18735,2:29,Home
75,2024-04-02,@,Vegas Golden Knights,3,6,L,,46,21,8,L 1,18366,2:35,Road
76,2024-04-03,@,Arizona Coyotes,2,1,W,,47,21,8,W 1,4600,2:32,Road
77,2024-04-06,@,Los Angeles Kings,3,6,L,,47,22,8,L 1,18190,2:26,Road
78,2024-04-08,,Vegas Golden Knights,4,3,W,,48,22,8,W 1,18899,2:28,Home
79,2024-04-10,,Arizona Coyotes,3,4,L,OT,48,22,9,L 1,18856,2:39,Skate
80,2024-04-13,@,Edmonton Oilers,3,1,W,,49,22,9,W 1,18347,2:26,Road
81,2024-04-16,,Calgary Flames,4,1,W,,50,22,9,W 2,18918,2:30,Home
82,2024-04-18,@,Winnipeg Jets,2,4,L,,50,23,9,L 1,15225,2:19,Road
